drug_name,num_prescriber,total_cost
CELECOXIB,75509,3.8775036944E8
PREZISTA,5120,3.839178355E8
LEVEMIR,28656,3.8352001742E8
DEXILANT,40963,3.7064649612E8
ISENTRESS,5241,3.6725986918E8
JANUMET,29031,3.6506749704E8
HUMALOG,30255,3.5788948544E8
FENOFIBRATE,95896,3.4820463454E8
COMBIVENT RESPIMAT,40364,3.4235170452E8
RANEXA,23321,3.3619150966E8
GILENYA,1630,3.2787505575E8
BENICAR,44786,3.2446818553E8
FORTEO,5159,3.2308149264E8
INVOKANA,22624,3.1628226967E8
TRACLEER,1415,3.1025681555E8
TRAVATAN Z,26683,3.0428958977E8
TARCEVA,2151,3.0139065683E8
LIDOCAINE,28427,2.9807834967E8
FENTANYL,61048,295767448
CLOBETASOL PROPIONATE,35213,2.9316076854E8
HUMIRA,3034,2.9304313593E8
MORPHINE SULFATE ER,55660,2.8788935713E8
BYSTOLIC,50551,2.7748522496E8
VALSARTAN,93267,2.7591303174E8
HYDROXYCHLOROQUINE SULFATE,21921,2.7203660649E8
NOVOLOG MIX 70-30 FLEXPEN,15060,2.6973727418E8
H.P. ACTHAR,300,2.6619766552E8
JAKAFI,1362,2.6259290109E8
AMLODIPINE BESYLATE,247749,2.5958374015E8
MYRBETRIQ,20472,2.5884296608E8
DIVALPROEX SODIUM ER,39024,2.5829091769E8
AVONEX PEN,2016,2.5779408991E8
GAMMAGARD LIQUID,1010,2.5712735687E8
SIMVASTATIN,218325,2.5700139712E8
OMEGA-3 ACID ETHYL ESTERS,39539,2.5337571412E8
OXYCODONE HCL,99987,2.5239122629E8
VIMPAT,10216,251927902
LISINOPRIL,257496,2.4901922704E8
AUBAGIO,1227,2.4774162679E8
STRIBILD,2588,2.4640180149E8
CREON,11060,2.4433170483E8
RISPERDAL CONSTA,7696,2.3838193817E8
AVONEX,2182,2.3622748432E8
XIFAXAN,6705,2.3348235842E8
PREMARIN,45292,2.3072192214E8
INVEGA,7650,2.2882911941E8
SYNTHROID,94202,2.2833437009E8
POMALYST,912,2.2819887998E8
RALOXIFENE HCL,38192,2.2304188394E8
REYATAZ,4114,2.2206139907E8
AFINITOR,1166,2.2063452621E8
LOSARTAN POTASSIUM,199711,2.1371821406E8
CLOPIDOGREL,177529,2.0965670815E8
REBIF,1796,2.087967421E8
WELCHOL,17699,2.048501034E8
OPSUMIT,783,2.0297223642E8
TIVICAY,2959,1.940388427E8
MULTAQ,11709,1.9369245408E8
EPZICOM,3585,1.9115222547E8
ESBRIET,958,1.9095971547E8
TRIUMEQ,2093,1.8903085185E8
ADCIRCA,1694,1.8674267289E8
LINZESS,19886,1.8637364969E8
COMBIGAN,19890,1.8556035707E8
VOLTAREN,55083,1.818813702E8
AVODART,24490,1.7895295142E8
BETASERON,1457,1.7842169609E8
WARFARIN SODIUM,165967,1.7809297108E8
BENICAR HCT,27002,1.7659892482E8
QUETIAPINE FUMARATE,104518,1.7569319902E8
TASIGNA,1228,1.752085412E8
METFORMIN HCL,202582,1.7455795798E8
PANTOPRAZOLE SODIUM,187348,1.7187215479E8
ONGLYZA,17850,1.7174586021E8
SPRYCEL,1174,1.6905301475E8
DONEPEZIL HCL,117245,1.6882164351E8
AMITIZA,20662,1.6776651883E8
IBRANCE,883,1.6694451587E8
VYTORIN,22484,1.6482784846E8
XENAZINE,741,1.6052843324E8
METHOTREXATE,24619,1.5826816791E8
AZILECT,6098,1.5797550674E8
SUBOXONE,7458,1.5796707723E8
NORVIR,6265,1.545449679E8
DULERA,18140,1.5278620396E8
PREDNISOLONE ACETATE,21130,1.5206062689E8
AMPYRA,2050,1.4949297717E8
ALPHAGAN P,15483,1.4898935523E8
COMPLERA,2162,1.4824032062E8
FLUTICASONE PROPIONATE,175327,1.4586077874E8
ZOSTAVAX,13889,1.4264557315E8
ESOMEPRAZOLE MAGNESIUM,26235,1.4203489165E8
MONTELUKAST SODIUM,136382,1.4108906792E8
OFEV,793,1.391019061E8
FLOVENT HFA,24673,1.3723795514E8
METOPROLOL TARTRATE,212292,1.3717475751E8
SUBSYS,359,1.3684876966E8
METFORMIN HCL ER,89364,1.3509970666E8
FUROSEMIDE,229049,1.3448190725E8
ULORIC,17597,1.3417978164E8
EFFIENT,12035,1.3343740027E8
ENOXAPARIN SODIUM,14900,1.3284004224E8
XYREM,707,1.319409556E8
HUMALOG MIX 75-25 KWIKPEN,7915,1.3127637438E8
ANDROGEL,8963,1.3115499101E8
VIREAD,4773,1.3075261582E8
OXYBUTYNIN CHLORIDE ER,68659,1.2996831367E8
ORENCIA,1521,1.2987016232E8
ALLOPURINOL,142607,1.2929141007E8
BD ULTRA-FINE PEN NEEDLE,74020,1.2652397678E8
DOXYCYCLINE HYCLATE,73359,1.256154402E8
NASONEX,22838,1.2503893333E8
PATADAY,17749,1.2453526135E8
OPANA ER,6115,1.2311445181E8
TOLTERODINE TARTRATE ER,26983,1.2099618393E8
GAMUNEX-C,630,1.1973950817E8
PROCRIT,3913,1.1953966771E8
LIALDA,6843,1.1657265108E8
NUEDEXTA,6823,1.1566946289E8
BUPROPION XL,75997,115511597
ABILIFY MAINTENA,2648,1.1514036584E8
DIVALPROEX SODIUM,54454,1.148654429E8
XELJANZ,1466,1.1370999531E8
CARVEDILOL,173266,1.1276526618E8
PRISTIQ ER,16575,1.1252405771E8
VENTOLIN HFA,69261,1.1188831112E8
QVAR,22586,1.1051246061E8
HUMULIN 70-30,15384,1.1021258449E8
AGGRENOX,13867,1.0991826851E8
HUMULIN R U-500,2477,1.0752673504E8
NIACIN ER,23475,1.0714914085E8
ENALAPRIL MALEATE,87370,1.0687609231E8
VENLAFAXINE HCL ER,103883,1.0617366289E8
LATANOPROST,53780,1.0611138564E8
AZOPT,9783,1.0597912459E8
VALSARTAN-HYDROCHLOROTHIAZIDE,75776,1.0564400347E8
ESCITALOPRAM OXALATE,135211,1.0563882674E8
DICLOFENAC SODIUM,50960,1.0523112947E8
PROLASTIN C,684,1.0385597196E8
SERTRALINE HCL,176564,1.0367229053E8
TRAMADOL HCL,201676,1.0130871997E8
NEXAVAR,559,1.0111762382E8
VICTOZA 2-PAK,9576,1.003640329E8
NOVOLIN 70-30,18392,1.0007391592E8
TIKOSYN,4015,9.992890254E7
NOVOLOG MIX 70-30,8961,9.989917052E7
HYDROCHLOROTHIAZIDE,206336,9.961943104E7
ALPRAZOLAM,161491,9.923275494E7
BREO ELLIPTA,10054,9.745653021E7
OLANZAPINE,52444,9.728869589E7
ADEMPAS,433,9.717218022E7
TIZANIDINE HCL,68275,9.645701759E7
TOVIAZ,14368,9.444315714E7
CLOZAPINE,16825,9.432618436E7
INTELENCE,2578,9.312298086E7
RAPAFLO,9270,9.298390789E7
ZIPRASIDONE HCL,22262,9.297378301E7
FINASTERIDE,86913,9.161590019E7
VALGANCICLOVIR HCL,1216,9.03603047E7
LEVETIRACETAM,66356,9.019419881E7
FLUOXETINE HCL,133257,8.987369999E7
ECONAZOLE NITRATE,10994,8.984161666E7
ZOLPIDEM TARTRATE,151477,8.925192394E7
BUDESONIDE EC,5265,8.915099192E7
ILEVRO,4203,8.911534768E7
MIRTAZAPINE,102113,8.890866287E7
ISOSORBIDE MONONITRATE ER,104552,8.804949751E7
PROLIA,3228,8.762067617E7
ATENOLOL,169553,8.65544129E7
HUMULIN N,14838,8.632629936E7
CHLORPROMAZINE HCL,7852,8.607657805E7
ADVAIR HFA,9049,8.543592675E7
NIFEDIPINE ER,65008,8.518504219E7
DIGOXIN,59519,8.494783432E7
SANTYL,9595,8.446567705E7
RANITIDINE HCL,132352,8.428143086E7
DUREZOL,5980,8.359588867E7
PREDNISONE,209989,8.355729359E7
DOXAZOSIN MESYLATE,70791,8.354951326E7
CINRYZE,96,8.335673746E7
CIMZIA,1183,8.281717282E7
PIOGLITAZONE HCL,56245,8.222813147E7
URSODIOL,10072,8.22044974E7
LIDOCAINE-PRILOCAINE,13223,8.219358496E7
TRAZODONE HCL,166201,8.179616336E7
CARBIDOPA-LEVODOPA,46139,8.168860283E7
COLCRYS,16030,8.164717543E7
BACLOFEN,78884,8.125220559E7
DIOVAN,17127,8.093452223E7
BRILINTA,9115,8.005831898E7
AMLODIPINE BESYLATE-BENAZEPRIL,57233,7.795341724E7
VIEKIRA PAK,134,7.647635306E7
LOSARTAN-HYDROCHLOROTHIAZIDE,111227,74901403
BRIMONIDINE TARTRATE,22356,7.42659718E7
LANSOPRAZOLE,53350,7.415993231E7
COLCHICINE,18111,7.301397287E7
DALIRESP,10202,7.299323543E7
LORAZEPAM,154605,7.28703354E7
PAROXETINE HCL,113327,7.218820304E7
AMITRIPTYLINE HCL,101722,7.156925968E7
JANUMET XR,7921,7.122762696E7
SAPHRIS,4446,7.10480043E7
MEMANTINE HCL,28304,7.053805988E7
OXYBUTYNIN CHLORIDE,69615,7.052138974E7
MODAFINIL,7608,7.050409745E7
REBIF REBIDOSE,655,7.036717783E7
HUMALOG MIX 75-25,6067,6.989159713E7
GLIMEPIRIDE,94706,6.988895611E7
EXEMESTANE,5532,6.95460398E7
HYDRALAZINE HCL,88759,6.908069753E7
POLYETHYLENE GLYCOL 3350,76127,6.907022554E7
SEROSTIM,193,6.893994167E7
VIGAMOX,5986,6.850826718E7
CITALOPRAM HBR,158640,6.829260784E7
SIMPONI,889,67759982
RISPERIDONE,69914,6.746154201E7
DILTIAZEM 24HR ER,44098,6.585466396E7
CALCIUM ACETATE,12294,6.560963059E7
CARBAMAZEPINE,32818,6.45996333E7
TUDORZA PRESSAIR,7980,6.413624884E7
CLONAZEPAM,143771,6.386704233E7
SPIRIVA RESPIMAT,6477,6.317879067E7
TIMOLOL MALEATE,29742,6.312843919E7
TARGRETIN,85,6.280015165E7
ASACOL HD,4426,6.191361695E7
ALENDRONATE SODIUM,132530,6.191227117E7
AZOR,9324,6.16203786E7
KEPPRA,2510,6.15027057E7
VOTRIENT,466,6.139730551E7
LAMICTAL,2419,6.015591771E7
LOTEMAX,6980,5.887353824E7
PATANOL,8895,5.877974233E7
SUTENT,409,5.877335992E7
LOVASTATIN,105575,5.815837901E7
SUSTIVA,2607,5.744255675E7
TRIAMCINOLONE ACETONIDE,88115,5.700568899E7
LIDODERM,5447,5.698490547E7
FOSRENOL,2100,5.69329272E7
AZITHROMYCIN,167301,5.663340783E7
ZEMAIRA,321,5.654518831E7
FLUOCINONIDE,16881,5.595871354E7
ORENITRAM ER,226,5.532459624E7
LISINOPRIL-HYDROCHLOROTHIAZIDE,129705,5.491049995E7
KALETRA,2285,5.472595316E7
FIRAZYR,47,5.472188608E7
GLUMETZA,979,5.460296747E7
METRONIDAZOLE,42857,5.431488653E7
DIGOX,44531,5.355492763E7
BYDUREON PEN,3907,5.332115259E7
CYCLOBENZAPRINE HCL,96806,5.306734101E7
PROPRANOLOL HCL ER,28661,5.280138443E7
EXJADE,428,5.251726985E7
BYETTA,4828,5.16894488E7
BUTRANS,5593,5.135890234E7
STELARA,241,5.132168171E7
MELOXICAM,138421,5.113983639E7
JUXTAPID,91,5.103217624E7
CLONIDINE,16110,5.052833877E7
METHYLPREDNISOLONE,74025,5.016496792E7
ESTRACE,8819,5.008492297E7
VAGIFEM,8619,4.969168801E7
PROLENSA,3585,4.964028574E7
CUBICIN,1004,4.938338611E7
TRIAMTERENE-HYDROCHLOROTHIAZID,98768,4.907355542E7
ELMIRON,2899,4.856450738E7
RIVASTIGMINE,11999,4.826948963E7
SPIRONOLACTONE,114776,4.821357737E7
NEUPRO,2953,4.767403295E7
CLOMIPRAMINE HCL,4444,4.761010147E7
FENOFIBRIC ACID,16768,4.730608145E7
RAMIPRIL,64730,4.703496721E7
FANAPT,2048,4.702518786E7
FLUOROURACIL,7507,4.702214692E7
ROPINIROLE HCL,71532,4.701147386E7
PENTASA,3202,4.69453357E7
ONFI,1563,4.691864451E7
KLOR-CON M20,61082,4.691372101E7
DILTIAZEM 24HR CD,51086,4.683536223E7
ATROVENT HFA,8599,4.677508676E7
DEXTROAMPHETAMINE-AMPHETAMINE,24550,4.671584085E7
BUSPIRONE HCL,70623,4.668713012E7
AZELASTINE HCL,23418,4.640787102E7
KETOCONAZOLE,38024,4.564316426E7
CARBAMAZEPINE ER,13497,4.534500748E7
APRISO,4551,4.512779002E7
BYDUREON,3878,4.49559079E7
THALOMID,345,4.485793512E7
CARTIA XT,48212,4.472702597E7
INSULIN SYRINGE,47786,4.454279821E7
NOVOLIN N,10921,4.432940807E7
BUPROPION HCL SR,61163,4.403067031E7
AMIODARONE HCL,53288,4.400786215E7
GATTEX,73,4.38663788E7
SUMATRIPTAN SUCCINATE,36985,4.383335959E7
IBANDRONATE SODIUM,23000,4.367188967E7
PHENYTOIN SODIUM EXTENDED,41388,4.366443023E7
ANORO ELLIPTA,4843,4.363101486E7
CHLORTHALIDONE,37929,4.309835844E7
BUDESONIDE,5857,4.293302403E7
TEMAZEPAM,70938,4.289362508E7
BUMETANIDE,33720,4.28837968E7
CARAFATE,8848,4.253903568E7
CLOTRIMAZOLE-BETAMETHASONE,35064,4.224823431E7
CIPROFLOXACIN HCL,161891,4.217281356E7
LEVOFLOXACIN,110165,4.197458921E7
DORZOLAMIDE-TIMOLOL,22007,4.187067371E7
VIIBRYD,8798,4.135241846E7
LABETALOL HCL,35984,4.109524915E7
NUVIGIL,3522,4.102241099E7
KOMBIGLYZE XR,5085,4.071217645E7
ENTACAPONE,5396,4.001196542E7
PROMACTA,442,3.992001293E7
CIALIS,6673,3.95439839E7
LEFLUNOMIDE,5794,3.934108159E7
GLIPIZIDE,108408,3.933276461E7
OXYMORPHONE HCL ER,3595,3.926086502E7
DEXTROAMPHETAMINE-AMPHET ER,11076,3.925609729E7
TAMIFLU,9601,3.913432547E7
FAMOTIDINE,86941,3.907253477E7
BANZEL,855,3.900125076E7
VANCOMYCIN HCL,7628,3.898907034E7
NOVOLIN R,10456,3.890144359E7
XOLAIR,663,3.883946526E7
POTASSIUM CITRATE ER,8525,3.882677953E7
OTEZLA,924,3.870596995E7
SELZENTRY,1101,3.854436772E7
IBUPROFEN,128293,3.833222443E7
ENTECAVIR,1710,3.829884952E7
ESTRADIOL,50289,3.817780827E7
AMOXICILLIN-CLAVULANATE POTASS,98183,3.816577537E7
NITROFURANTOIN MONO-MACRO,44647,3.808058963E7
LAMOTRIGINE,58640,3.792101829E7
TRIBENZOR,5661,3.782279254E7
VERAPAMIL ER,61525,3.756911954E7
XALKORI,213,3.743240038E7
NYSTATIN,50736,3.741532828E7
NEULASTA,275,3.736780385E7
PRAMIPEXOLE DIHYDROCHLORIDE,46681,3.712287999E7
VALACYCLOVIR,41835,3.710679079E7
BRINTELLIX,5016,3.70242304E7
AMANTADINE,12661,3.701326714E7
HALOPERIDOL,25819,3.69364765E7
DESONIDE,7910,3.650593807E7
SUPREP,6336,3.62250324E7
LIVALO,7479,3.611122092E7
INLYTA,181,3.596297886E7
HUMULIN R,10882,3.592168151E7
NEUPOGEN,626,3.587252079E7
PLEGRIDY PEN,304,3.569977511E7
ACETAMINOPHEN-CODEINE,81390,3.540284011E7
TOPIRAMATE,63301,3.525354198E7
OLYSIO,82,3.515208048E7
BESIVANCE,2496,3.501587659E7
PRIVIGEN,196,3.439706271E7
ASMANEX,7003,3.436843014E7
PROPRANOLOL HCL,62491,3.415805975E7
TACROLIMUS,4071,3.39120231E7
VASCEPA,3369,3.379095403E7
REMICADE,222,3.37502361E7
CARBIDOPA-LEVODOPA-ENTACAPONE,3751,3.365324229E7
OXCARBAZEPINE,25810,3.359032741E7
ZENPEP,2404,3.345871796E7
COREG CR,6220,3.345718304E7
ONDANSETRON HCL,50899,3.300290286E7
CLONIDINE HCL,103209,3.282656893E7
ACYCLOVIR,40784,3.271414706E7
NITROSTAT,50048,3.237306107E7
GLIPIZIDE ER,55140,3.222131454E7
TOPAMAX,1721,3.208772872E7
METHADONE HCL,27159,3.188800621E7
PROSOL,2049,3.165205999E7
CEFUROXIME,24569,3.163804401E7
BUPRENORPHINE-NALOXONE,3116,3.160838903E7
NADOLOL,15197,3.123440158E7
TOPROL XL,23764,3.09254453E7
NYSTATIN-TRIAMCINOLONE,10190,3.09243301E7
SUCRALFATE,33756,3.066209869E7
IRBESARTAN,38642,3.061942504E7
PREZCOBIX,688,3.060988857E7
JALYN,5653,3.041760701E7
ACTEMRA,545,3.001646836E7
ARANESP,1149,2.986687156E7
STRATTERA,4242,2.975347329E7
ISOSORBIDE DINITRATE,19722,2.912324817E7
MECLIZINE HCL,62256,2.909352761E7
AMLODIPINE-VALSARTAN,10350,2.888489022E7
FAZACLO,926,2.779836577E7
TOBRAMYCIN-DEXAMETHASONE,9285,2.759183894E7
FLECAINIDE ACETATE,15192,2.749313563E7
FLUCONAZOLE,67487,2.735612886E7
CARBIDOPA-LEVODOPA ER,13119,2.730829953E7
GILOTRIF,258,2.698951619E7
MIDODRINE HCL,15519,2.693541441E7
CELEBREX,4541,2.692364416E7
RENAGEL,1234,2.689362845E7
METOLAZONE,27346,2.67318987E7
METHYLPHENIDATE HCL,18094,2.66752809E7
JENTADUETO,2743,2.664887006E7
HUMULIN 70/30 KWIKPEN,2767,2.658076366E7
CEPHALEXIN,125408,2.580298326E7
PROPAFENONE HCL ER,2443,2.576819665E7
COUMADIN,12102,2.574996919E7
OLANZAPINE ODT,5290,2.554477765E7
VELPHORO,856,2.551930281E7
BENAZEPRIL HCL,76810,2.524172139E7
HIZENTRA,250,2.52278702E7
CALCITRIOL,21578,2.521613394E7
LEXIVA,935,2.520047427E7
DRONABINOL,3121,2.493869511E7
APOKYN,71,2.493024649E7
CALCIPOTRIENE,2670,2.490638105E7
NUCYNTA ER,2086,2.486621868E7
NORTHERA,180,2.47185124E7
TOUJEO SOLOSTAR,2020,2.466133674E7
SILDENAFIL,3019,2.454613975E7
SAVELLA,5340,2.435867934E7
TYSABRI,173,2.431456191E7
BERINERT,17,2.42968357E7
NEVANAC,2160,2.420601225E7
DILTIAZEM ER,29379,2.413304865E7
DELZICOL,2876,2.40134684E7
DIAZEPAM,92510,2.379692042E7
ERIVEDGE,146,2.377613637E7
ARALAST NP,172,2.375165452E7
BENZTROPINE MESYLATE,34079,2.36886144E7
BUTALBITAL-ACETAMINOPHEN-CAFFE,20011,2.355158008E7
FARXIGA,3086,2.354587485E7
REPAGLINIDE,8856,2.34933212E7
BETAMETHASONE DIPROPIONATE,11785,2.348193397E7
LAMICTAL XR,782,2.33280404E7
NAPROXEN,90818,2.324434275E7
VIAGRA,2134,2.321046825E7
HYDROMORPHONE HCL,25651,2.315073714E7
GALANTAMINE HBR,8910,2.314562345E7
AMOXICILLIN,157844,2.313415315E7
SIMBRINZA,5305,2.298009959E7
KETOROLAC TROMETHAMINE,10303,2.291348077E7
LAMOTRIGINE ER,2009,2.285095112E7
GEMFIBROZIL,51305,2.271415241E7
RISEDRONATE SODIUM,5224,2.20944471E7
CICLOPIROX,10601,2.189031814E7
VENLAFAXINE HCL,29062,2.177508657E7
VYVANSE,4235,2.175860471E7
NUCYNTA,2256,2.167641208E7
FONDAPARINUX SODIUM,731,2.154695732E7
CHANTIX,5169,2.153892431E7
MYCOPHENOLATE MOFETIL,7798,2.147693973E7
METHYLPHENIDATE ER,5340,2.144736673E7
VALCYTE,342,2.141448773E7
PREVACID,3290,2.132825718E7
PERPHENAZINE,8437,2.128032279E7
MUPIROCIN,46145,2.127332606E7
SULFAMETHOXAZOLE-TRIMETHOPRIM,118585,2.124996827E7
ROZEREM,4183,2.116340178E7
ALBUTEROL SULFATE,15686,2.112264679E7
CHOLESTYRAMINE,10706,20976768
ANASTROZOLE,18013,2.08119606E7
HYDROMORPHONE ER,1208,2.080624989E7
LACTULOSE,35306,2.066523186E7
PERCOCET,933,2.057194913E7
DAKLINZA,53,2.057175576E7
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14060,2.054947449E7
INVANZ,2012,2.049638287E7
ACETAZOLAMIDE,7050,2.043301906E7
CAPTOPRIL,10341,2.026200579E7
LAMIVUDINE-ZIDOVUDINE,1743,2.004437171E7
AVONEX ADMINISTRATION PACK,250,1.994559109E7
QUINAPRIL HCL,38609,1.989578593E7
METHENAMINE HIPPURATE,6806,1.98441688E7
CEFDINIR,20568,1.97054609E7
DOXEPIN HCL,26185,1.96432873E7
GAMMAKED,99,1.960812559E7
ABACAVIR,2001,1.942135389E7
GLIPIZIDE-METFORMIN,9214,1.93906442E7
FELODIPINE ER,19259,1.937882486E7
STIVARGA,132,1.931912289E7
TERAZOSIN HCL,59643,1.924465456E7
PARICALCITOL,2786,1.924095815E7
GLIPIZIDE XL,35578,1.921362144E7
OXYCODONE HCL ER,1632,1.912408979E7
ETODOLAC,11687,1.897576885E7
KALYDECO,51,1.892725894E7
SABRIL,65,1.888737137E7
NOXAFIL,177,1.888467463E7
TORSEMIDE,31800,1.869273655E7
ENABLEX,3743,1.856839173E7
RITUXAN,111,1.846973418E7
HUMULIN N KWIKPEN,1784,1.82875228E7
EPIPEN 2-PAK,1951,1.812569297E7
NATEGLINIDE,7375,18061302
ENDOCET,7746,1.796362096E7
IPRATROPIUM BROMIDE,23075,1.795847969E7
FENTORA,88,1.79530605E7
WELLBUTRIN XL,835,1.785942919E7
PILOCARPINE HCL,7015,1.775026487E7
DURAGESIC,855,1.77427517E7
BOSULIF,133,1.75584996E7
MEKINIST,99,1.754728032E7
AVASTIN,116,1.719106043E7
PIOGLITAZONE-METFORMIN,4606,1.718311791E7
NIFEDICAL XL,25255,1.716151101E7
LEVOCETIRIZINE DIHYDROCHLORIDE,22214,1.701897721E7
PREMPRO,6369,1.698794411E7
FLUOROMETHOLONE,5201,1.694182119E7
NITROFURANTOIN,17262,1.693021898E7
IPRATROPIUM-ALBUTEROL,16274,1.691105259E7
SOTALOL,26925,1.690105369E7
ESZOPICLONE,15158,1.675363977E7
TELMISARTAN,11176,1.674204374E7
OFLOXACIN,10842,1.667444949E7
TOLTERODINE TARTRATE,8097,1.664674297E7
CIPRODEX,3906,1.658149931E7
SEREVENT DISKUS,3282,1.635520827E7
ORKAMBI,47,1.635159468E7
MOVIPREP,3755,1.634823453E7
KEPPRA XR,877,1.628891963E7
ZYDELIG,138,1.626415551E7
PRIMIDONE,28242,1.622536515E7
HYDROXYZINE HCL,34272,1.618703136E7
NABUMETONE,22258,1.610877219E7
TAFINLAR,103,1.60831012E7
TEKTURNA,4933,1.607357477E7
ZOLPIDEM TARTRATE ER,11355,1.591941672E7
HUMALOG MIX 50-50 KWIKPEN,795,1.576969548E7
RYTARY,630,1.571092658E7
MORPHINE SULFATE,21607,1.567632583E7
JADENU,96,1.567466545E7
LUPRON DEPOT,368,1.562432497E7
LYNPARZA,169,1.55614176E7
LOVAZA,2808,1.535584031E7
TRULICITY,1158,1.533271752E7
KUVAN,52,1.530757669E7
PHENOBARBITAL,20698,1.521580004E7
CLOZARIL,640,1.517467601E7
ACITRETIN,944,1.510106692E7
VIMOVO,437,1.500948546E7
AMMONIUM LACTATE,14049,1.494733167E7
CLINDAMYCIN PHOSPHATE,8016,1.493506459E7
AZATHIOPRINE,11967,1.485905921E7
COLESTIPOL HCL,7259,1.465160771E7
CILOSTAZOL,25653,1.462702474E7
CYMBALTA,3130,1.457025203E7
DILANTIN,9384,1.454788791E7
ATOVAQUONE,636,1.45279099E7
DIPHENOXYLATE-ATROPINE,22836,1.444190597E7
FORADIL,2667,1.440900729E7
ACTIMMUNE,21,1.423771524E7
CARISOPRODOL,26413,1.419575467E7
DORZOLAMIDE HCL,12838,1.412241852E7
BARACLUDE,525,1.406438799E7
SAMSCA,143,1.404448421E7
APTIOM,606,1.39857657E7
ONDANSETRON ODT,28915,1.398129963E7
GRALISE,1518,1.393020817E7
RAVICTI,16,1.391898536E7
TEGRETOL XR,3985,1.382297429E7
FETZIMA,2443,1.381487365E7
HALOPERIDOL DECANOATE,5599,1.380563354E7
KLOR-CON M10,25974,1.378589038E7
KALBITOR,18,1.377693352E7
NORTRIPTYLINE HCL,41332,1.364503309E7
BUPROPION HCL,18747,1.363136667E7
HYDROCORTISONE,26440,1.362232144E7
ATELVIA,1991,1.361173328E7
DESOXIMETASONE,3905,1.351865893E7
LAMIVUDINE,2298,1.341554392E7
ICLUSIG,59,1.33712267E7
TROSPIUM CHLORIDE,5042,1.333549547E7
PENNSAID,316,1.331830631E7
EDURANT,676,1.326624696E7
DEPAKOTE ER,1754,1.312529097E7
ZYPREXA,1000,1.308328213E7
ERYTHROMYCIN,13172,1.306434076E7
BISOPROLOL FUMARATE,15376,1.306325235E7
OCTAGAM,57,1.301207456E7
NITROGLYCERIN PATCH,16678,1.289164289E7
BALSALAZIDE DISODIUM,3374,1.275082634E7
TAMOXIFEN CITRATE,10548,1.271459523E7
NYSTOP,14387,1.257389252E7
PROGRAF,761,1.256196069E7
CALCITONIN-SALMON,9104,1.254826488E7
SOMAVERT,81,1.232739133E7
FLECTOR,1345,1.230932546E7
PYRIDOSTIGMINE BROMIDE,5513,1.227919599E7
DYMISTA,2909,1.223199108E7
GLASSIA,75,1.203960121E7
ACTONEL,2584,1.195395299E7
APIDRA SOLOSTAR,1179,1.190450615E7
TELMISARTAN-HYDROCHLOROTHIAZID,5550,1.177477419E7
CANASA,854,1.170798916E7
